#STN     LAT      LON  YYYY MM DD hh mm WDIR WSPD   GST WVHT  DPD APD MWD   PRES  PTDY  ATMP  WTMP  DEWP  VIS   TIDE
#text    deg      deg   yr mo day hr mn degT  m/s   m/s   m   sec sec degT   hPa   hPa  degC  degC  degC  nmi     ft
46097  44.639 -124.304 2019 03 11 21 50 210   4.0    MM   MM  MM   MM  MM 1018.9    MM   9.2   9.4    MM   MM     MM
46099  46.986 -124.566 2019 03 11 21 50 180   8.0    MM   MM  MM   MM  MM 1015.7    MM   7.7    MM    MM   MM     MM
46100  46.851 -124.972 2019 03 11 21 50 200   9.0    MM  2.5  MM   MM 266 1015.2    MM   7.5   9.0    MM   MM     MM
46108  59.597 -151.829 2019 03 11 23 00  MM    MM    MM  1.7   6   MM  MM     MM    MM    MM   5.3    MM   MM     MM
46114  36.723 -122.351 2019 03 11 23 30  MM    MM    MM  3.1  17 10.0 289     MM    MM    MM  12.9    MM   MM     MM
46118  48.724 -122.576 2019 03 11 22 55 210   7.0    MM   MM  MM   MM  MM 1014.1    MM   8.1    MM   1.2   MM     MM
46120  47.761 -122.397 2019 03 11 23 39 200   3.0    MM   MM  MM   MM  MM 1014.3    MM   8.8    MM   2.9   MM     MM
46121  47.280 -122.730 2019 03 11 23 37  MM    MM    MM   MM  MM   MM  MM 1016.1    MM   9.2    MM  -0.6   MM     MM
46125  47.907 -122.627 2019 03 11 23 35  MM  11.0    MM   MM  MM   MM  MM 1013.2    MM   9.5    MM  -1.7   MM     MM
46128  43.292 -124.538 2019 03 11 23 00 280   2.0    MM   MM  MM   MM  MM     MM    MM   9.0  10.5    MM   MM     MM
46131  49.910 -124.990 2019 03 11 23 00 120  13.0  16.0  1.9   5   MM  MM 1010.9  -2.3   5.8   7.2    MM   MM     MM
46145  54.370 -132.440 2019 03 11 23 00 280   6.0   8.0  4.1  17   MM  MM 1003.5  +1.4   4.6   6.4    MM   MM     MM
46146  49.340 -123.730 2019 03 11 23 00 100  11.0  15.0  0.9   4   MM  MM 1013.9  -1.9   5.4   6.6    MM   MM     MM
46147  51.830 -131.220 2019 03 11 23 00 280  10.0    MM   MM  MM   MM  MM 1006.7  +2.2   6.6    MM    MM   MM     MM
46181  53.830 -128.830 2019 03 11 23 00 170   5.0   7.0  0.0   8   MM  MM 1003.4  +1.8   2.6   4.8    MM   MM     MM
46183  53.620 -131.100 2019 03 11 23 00 250   7.0   8.0  2.5  10   MM  MM 1004.1  +1.3   5.8   9.4    MM   MM     MM
46184  53.910 -138.850 2019 03 11 23 00 180    MM    MM  5.2  17   MM  MM 1002.7  +0.6   5.5   6.4    MM   MM     MM
46204  51.380 -128.770 2019 03 11 23 00 280   9.0  13.0  3.8   9   MM  MM 1007.0  +2.7   6.2   7.7    MM   MM     MM
46207  50.870 -129.920 2019 03 11 23 00 290  10.0  13.0  5.4  20   MM  MM 1007.9  +2.7   7.1   8.6    MM   MM     MM
