#STN     LAT      LON  YYYY MM DD hh mm WDIR WSPD   GST WVHT  DPD APD MWD   PRES  PTDY  ATMP  WTMP  DEWP  VIS   TIDE
#text    deg      deg   yr mo day hr mn degT  m/s   m/s   m   sec sec degT   hPa   hPa  degC  degC  degC  nmi     ft
46086  32.491 -118.035 2018 11 29 06 50 270   5.0   7.0  2.3  15  9.4 282 1013.0  -0.7  17.4  18.5    MM   MM     MM
46087  48.493 -124.726 2018 11 29 07 20  70   4.0   6.0  2.8  13  9.6 263 1005.0    MM   9.6  10.8   9.5   MM     MM
46088  48.334 -123.165 2018 11 29 07 20  MM   0.0   1.0  0.3  11  4.5 280 1005.6    MM   8.6   9.1   8.2   MM     MM
46089  45.925 -125.771 2018 11 29 06 50  30   3.0   4.0  4.1  15 10.1 301 1004.9  -0.3  11.7  13.0    MM   MM     MM
46092  36.751 -122.029 2018 11 29 07 05 150  10.0    MM   MM  MM   MM  MM 1003.6  -3.0  15.2  16.6    MM   MM     MM
46097  44.639 -124.304 2018 11 29 05 50  70   4.0    MM   MM  MM   MM  MM 1003.5    MM  10.1  10.7    MM   MM     MM
46098  44.381 -124.956 2018 11 29 05 50  80   6.0    MM  3.7  MM   MM 274 1002.9    MM  11.5  12.4    MM   MM     MM
46099  46.986 -124.566 2018 11 29 05 50 160   3.0    MM   MM  MM   MM  MM 1004.7    MM  10.5  11.2    MM   MM     MM
46100  46.851 -124.972 2018 11 29 05 50 300   1.0    MM  3.7  MM   MM 263 1005.0    MM  11.1  12.4    MM   MM     MM
46108  59.597 -151.829 2018 11 29 07 30  MM    MM    MM  1.0   5  4.6 247     MM    MM    MM   7.4    MM   MM     MM
46114  36.723 -122.351 2018 11 29 07 30  MM    MM    MM  4.3  14  8.4 282     MM    MM    MM  16.6    MM   MM     MM
46118  48.724 -122.576 2018 11 29 06 55  40   2.0    MM   MM  MM   MM  MM 1005.5    MM   7.9    MM   7.4   MM     MM
46120  47.761 -122.397 2018 11 29 07 34  50   1.0    MM   MM  MM   MM  MM 1005.1    MM   8.9    MM   7.8   MM     MM
46121  47.280 -122.730 2018 11 29 07 31  MM    MM    MM   MM  MM   MM  MM 1005.7    MM   9.1    MM   8.5   MM     MM
46131  49.910 -124.990 2018 11 29 07 00 290   2.0   2.0  0.1   3   MM  MM 1006.3  +0.2   7.9   9.1    MM   MM     MM
46145  54.370 -132.440 2018 11 29 07 00 260   2.0   3.0  1.7  12   MM  MM 1005.0  +1.2   8.9   9.1    MM   MM     MM
46146  49.340 -123.730 2018 11 29 07 00  80   2.0   3.0  0.1   7   MM  MM 1006.2  +0.1   8.3   9.3    MM   MM     MM
46147  51.830 -131.220 2018 11 29 07 00 240   2.0   3.0  3.9  14   MM  MM 1005.8  +1.0   9.3   9.6    MM   MM     MM
46181  53.830 -128.830 2018 11 29 07 00 240   3.0   4.0  0.0   2   MM  MM 1006.3  +1.2   6.2   7.1    MM   MM     MM
46183  53.620 -131.100 2018 11 29 07 00 330   3.0   3.0  0.7  10   MM  MM 1005.4  +1.2   9.1  11.8    MM   MM     MM
46184  53.910 -138.850 2018 11 29 07 00 320    MM    MM  2.8  11   MM  MM 1007.7  +1.0   6.1   9.7    MM   MM     MM
46185  52.420 -129.790 2018 11 29 07 00 340   2.0   3.0  1.9  13   MM  MM 1005.5  +1.0   9.0    MM    MM   MM     MM
46204  51.380 -128.770 2018 11 29 07 00 210   5.0   7.0  3.0  12   MM  MM 1006.0  +0.7   9.6  10.4    MM   MM     MM
46207  50.870 -129.920 2018 11 29 07 00 250   1.0   2.0  3.4  13   MM  MM 1005.8  +0.9   9.8  10.8    MM   MM     MM
46208  52.520 -132.690 2018 11 29 07 00 260   1.0   3.0  3.3  11   MM  MM 1005.8  +1.0   8.8    MM    MM   MM     MM
46211  46.858 -124.244 2018 11 29 07 30  MM    MM    MM  3.1  13 10.1 267     MM    MM    MM  10.9    MM   MM     MM
46213  40.295 -124.732 2018 11 29 07 30  MM    MM    MM  3.7  17 10.6 284     MM    MM    MM  14.1    MM   MM     MM
46214  37.950 -123.472 2018 11 29 07 30  MM    MM    MM  3.9  14 10.1 291     MM    MM    MM  15.3    MM   MM     MM
46215  35.204 -120.859 2018 11 29 07 27  MM    MM    MM  2.6  13  8.3 268     MM    MM    MM  17.7    MM   MM     MM
46217  34.167 -119.435 2018 11 29 07 21  MM    MM    MM  1.4  14  8.2 265     MM    MM    MM  16.5    MM   MM     MM
46218  34.454 -120.783 2018 11 29 07 30  MM    MM    MM  3.4  17 10.3 296     MM    MM    MM  17.0    MM   MM     MM
46219  33.225 -119.882 2018 11 29 07 30  MM    MM    MM  4.1  14 12.0 302     MM    MM    MM  17.4    MM   MM     MM
46221  33.855 -118.634 2018 11 29 07 30  MM    MM    MM  1.3  17  9.2 269     MM    MM    MM  18.3    MM   MM     MM
46222  33.618 -118.317 2018 11 29 07 30  MM    MM    MM  1.5  15 10.6 268     MM    MM    MM  18.2    MM   MM     MM
46224  33.178 -117.472 2018 11 29 07 30  MM    MM    MM  1.0  18  8.6 267     MM    MM    MM  18.5    MM   MM     MM
46225  32.933 -117.391 2018 11 29 07 30  MM    MM    MM  1.7  18 10.3 277     MM    MM    MM  18.5    MM   MM     MM
46229  43.769 -124.547 2018 11 29 07 23  MM    MM    MM  3.8  15 11.0 282     MM    MM    MM  12.2    MM   MM     MM
46232  32.530 -117.421 2018 11 29 07 30  MM    MM    MM  2.1  17 10.9 278     MM    MM    MM  18.8    MM   MM     MM
46235  32.570 -117.169 2018 11 29 07 30  MM    MM    MM  1.8  14 11.6 274     MM    MM    MM  17.5    MM   MM     MM
46237  37.786 -122.634 2018 11 29 07 00  MM    MM    MM  3.4  14   MM  MM     MM    MM    MM  14.0    MM   MM     MM
46240  36.626 -121.907 2018 11 29 07 21  MM    MM    MM  1.2  13 11.9 346     MM    MM    MM  16.2    MM   MM     MM
46243  46.216 -124.128 2018 11 29 07 30  MM    MM    MM  3.3  14 10.2 253     MM    MM    MM  10.6    MM   MM     MM
46244  40.896 -124.357 2018 11 29 07 30  MM    MM    MM  3.4  17 10.9 291     MM    MM    MM  12.3    MM   MM     MM
46246  50.033 -145.200 2018 11 29 06 30  MM    MM    MM  2.5  11  8.1 293     MM    MM    MM   9.6    MM   MM     MM
46248  46.129 -124.647 2018 11 29 07 30  MM    MM    MM  3.9  15 10.5 279     MM    MM    MM  12.1    MM   MM     MM
46251  33.761 -119.559 2018 11 29 07 30  MM    MM    MM  2.1  14  9.7 272     MM    MM    MM  17.8    MM   MM     MM
46253  33.576 -118.181 2018 11 29 07 30  MM    MM    MM  1.4  18 10.0 251     MM    MM    MM  18.5    MM   MM     MM
46254  32.868 -117.267 2018 11 29 07 00  MM    MM    MM  1.1  15   MM  MM     MM    MM    MM  18.0    MM   MM     MM
